Episode,Time,UE x,UE y,UE SINR,BS TX Power,Beam Index,Action,Cumul. Reward,Done,Abort,Loss,Q
7.0,1.0,95.2649080587839,124.12646259763791,7.21,28.01,3.0,1.0,2.0,0.0,0.0,9.435649236043295,0.1082503291569689
7.0,2.0,95.18186047601134,124.39153540428318,-0.67,22.25,0.0,1.0,4.0,0.0,0.0,9.435649236043295,0.1082503291569689
7.0,3.0,94.98828402622733,124.1923152950668,-176.23,17.67,1.0,1.0,-1.0,0.0,1.0,9.435649236043295,0.1082503291569689
8.0,1.0,-58.1052969600432,-101.24566976491019,15.68,10.54,0.0,2.0,0.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,2.0,-58.37633463385589,-101.18484975832219,11.7,8.37,1.0,1.0,2.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,3.0,-58.27513661026135,-100.92616181146784,8.95,6.65,2.0,1.0,4.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,4.0,-58.51101874437939,-100.77946446101092,1.08,5.28,3.0,1.0,6.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,5.0,-58.39173055262014,-101.03032462351977,13.04,4.19,0.0,1.0,23.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,6.0,-58.29525780509622,-100.76983757429785,9.59,3.73,0.0,3.0,23.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,7.0,-58.433926299692274,-101.01052729662439,10.18,2.96,1.0,1.0,25.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,8.0,-58.195963865641176,-100.8672290977256,-0.4,2.35,2.0,1.0,27.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,9.0,-58.46807534182615,-100.92304879277667,-0.5,1.87,3.0,1.0,29.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,10.0,-58.637764253817615,-100.70312569945922,-1.56,2.1,3.0,2.0,29.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,11.0,-58.90501653927724,-100.62738462906958,3.26,1.67,0.0,1.0,31.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,12.0,-58.82443589907857,-100.36155149672462,-0.55,2.1,1.0,0.0,33.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,13.0,-58.924125760903515,-100.10227861870517,-2.26,1.87,1.0,3.0,33.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,14.0,-58.646920650067315,-100.12010613545458,0.09,2.1,1.0,2.0,33.0,0.0,0.0,9.918690141042074,0.3467233517750477
8.0,15.0,-58.493051864434676,-99.888838129377,-4.38,1.67,2.0,1.0,28.0,0.0,1.0,9.918690141042074,0.3467233517750477
9.0,1.0,-115.17432033703332,-110.24517848772871,-0.07,15.44,0.0,3.0,0.0,0.0,0.0,7.872647047042847,0.5287619659211487
9.0,2.0,-114.95371111487705,-110.41397441459534,-11.88,12.26,1.0,1.0,-5.0,0.0,1.0,7.872647047042847,0.5287619659211487
10.0,1.0,-42.20809628430731,135.57825287224094,7.21,6.44,1.0,1.0,2.0,0.0,0.0,11.896889972686768,1.1764350282028317
10.0,2.0,-42.311981395304734,135.83587347999625,15.57,8.11,2.0,0.0,19.0,0.0,0.0,11.896889972686768,1.1764350282028317
10.0,3.0,-42.5796997388953,135.90995034772354,-2.4,6.44,3.0,1.0,21.0,0.0,0.0,11.896889972686768,1.1764350282028317
10.0,4.0,-42.800496100538986,136.0785014097554,13.49,8.11,0.0,0.0,38.0,0.0,0.0,11.896889972686768,1.1764350282028317
10.0,5.0,-42.551653965880035,135.95505876782994,-152.04,10.21,1.0,0.0,33.0,0.0,1.0,11.896889972686768,1.1764350282028317
11.0,1.0,96.53075888125194,-79.93565479672905,20.78,29.82,2.0,2.0,0.0,0.0,0.0,11.958575884501139,1.722873152854542
11.0,2.0,96.54641155639126,-80.21299121263606,26.42,23.69,3.0,1.0,17.0,0.0,0.0,11.958575884501139,1.722873152854542
11.0,3.0,96.48001361010162,-79.94326578455097,-10.19,18.82,0.0,1.0,12.0,0.0,1.0,11.958575884501139,1.722873152854542
12.0,1.0,-148.95534295136147,55.95024435547249,4.9,36.75,0.0,0.0,2.0,0.0,0.0,17.53324294090271,2.160395325467107
12.0,2.0,-149.23297756156822,55.94132712257737,18.41,29.19,1.0,1.0,19.0,0.0,0.0,17.53324294090271,2.160395325467107
12.0,3.0,-149.433251090946,56.1338135045833,1.18,23.19,2.0,1.0,21.0,0.0,0.0,17.53324294090271,2.160395325467107
12.0,4.0,-149.7090602272875,56.10080117146802,-148.52,26.02,2.0,2.0,16.0,0.0,1.0,17.53324294090271,2.160395325467107
13.0,1.0,104.54433346557329,-137.10549052520219,2.98,3.81,2.0,2.0,0.0,0.0,0.0,19.060908317565918,3.0916814188240096
13.0,2.0,104.76568148174063,-136.93766457498606,-157.93,3.03,3.0,1.0,-5.0,0.0,1.0,19.060908317565918,3.0916814188240096
14.0,1.0,-18.989154696322593,-54.758201964680836,32.64,22.05,0.0,2.0,0.0,0.0,0.0,10.428327560424805,3.211243017576635
14.0,2.0,-18.95468672600335,-55.03383297318538,-131.64,17.51,1.0,1.0,-5.0,0.0,1.0,10.428327560424805,3.211243017576635
15.0,1.0,-2.2336355922830307,-35.55813670362388,16.58,8.4,1.0,3.0,0.0,0.0,0.0,9.148601804460798,4.467474962983813
15.0,2.0,-2.243746385489649,-35.83573040976272,7.97,6.67,2.0,1.0,2.0,0.0,0.0,9.148601804460798,4.467474962983813
15.0,3.0,-1.9788832433738297,-35.75201655322931,23.54,7.48,2.0,2.0,2.0,0.0,0.0,9.148601804460798,4.467474962983813
15.0,4.0,-2.2285295426793956,-35.87382467722027,2.77,6.67,2.0,3.0,2.0,0.0,0.0,9.148601804460798,4.467474962983813
15.0,5.0,-2.3978548490673677,-35.65362151093109,25.26,5.94,2.0,3.0,2.0,0.0,0.0,9.148601804460798,4.467474962983813
15.0,6.0,-2.6070904519933618,-35.47091695079271,25.29,4.72,3.0,1.0,19.0,0.0,0.0,9.148601804460798,4.467474962983813
15.0,7.0,-2.803274532877601,-35.66756969100949,-153.38,5.3,3.0,2.0,14.0,0.0,1.0,9.148601804460798,4.467474962983813
16.0,1.0,-127.39919641309952,-60.883344423692336,-2.06,16.42,0.0,0.0,2.0,0.0,0.0,10.465520222981771,6.596808685610692
16.0,2.0,-127.12599404258565,-60.83313527539482,5.88,13.04,1.0,1.0,4.0,0.0,0.0,10.465520222981771,6.596808685610692
16.0,3.0,-127.39429821288317,-60.761209160331376,11.66,10.36,2.0,1.0,6.0,0.0,0.0,10.465520222981771,6.596808685610692
16.0,4.0,-127.23371346065974,-60.53455296434172,6.4,13.04,3.0,0.0,8.0,0.0,0.0,10.465520222981771,6.596808685610692
16.0,5.0,-126.98641955931396,-60.40803727288671,14.63,10.36,0.0,1.0,25.0,0.0,0.0,10.465520222981771,6.596808685610692
16.0,6.0,-127.20999003764396,-60.24318359520115,-148.0,8.23,1.0,1.0,20.0,0.0,1.0,10.465520222981771,6.596808685610692
17.0,1.0,130.77775636659618,128.29750555874645,0.95,16.05,1.0,1.0,2.0,0.0,0.0,7.22553563117981,8.18092243745923
17.0,2.0,130.58453812215487,128.0979380166907,-22.3,12.75,2.0,1.0,-3.0,0.0,1.0,7.22553563117981,8.18092243745923
